"Data","Último","Abertura","Máxima","Mínima","Var%"
"19.05.2022","4,8928","4,8847","4,9568","4,8847","-1,52%"
"18.05.2022","4,9682","4,9372","5,0005","4,9197","0,60%"
"17.05.2022","4,9387","5,0617","5,0617","4,9261","-2,40%"
"16.05.2022","5,0599","5,0647","5,1045","5,0307","-0,01%"
"13.05.2022","5,0602","5,1347","5,1502","5,0455","-1,44%"
"12.05.2022","5,1339","5,1380","5,2102","5,1050","-0,08%"
"11.05.2022","5,1380","5,0992","5,1702","5,0930","0,13%"
"10.05.2022","5,1313","5,1622","5,1666","5,1090","-0,59%"
"09.05.2022","5,1617","5,0784","5,1625","5,0784","1,66%"
"06.05.2022","5,0774","5,0293","5,1150","5,0070","0,98%"
"05.05.2022","5,0280","4,9200","5,0589","4,9173","2,20%"
"04.05.2022","4,9198","4,9563","5,0368","4,8921","-0,78%"
"03.05.2022","4,9584","5,0841","5,0841","4,9559","-2,49%"
"02.05.2022","5,0848","4,9692","5,0940","4,9657","2,26%"
"29.04.2022","4,9725","4,9404","4,9819","4,8588","0,68%"
"28.04.2022","4,9390","4,9650","5,0454","4,9358","-0,53%"
"27.04.2022","4,9651","4,9992","5,0405","4,9277","-0,68%"
"26.04.2022","4,9989","4,8777","5,0023","4,8777","2,51%"
"25.04.2022","4,8766","4,7974","4,9490","4,7974","1,73%"
"22.04.2022","4,7937","4,6214","4,8393","4,6214","3,71%"
"21.04.2022","4,6220","4,6224","4,6225","4,6224","0,00%"
"20.04.2022","4,6219","4,6663","4,6803","4,6080","-0,98%"
"19.04.2022","4,6675","4,6536","4,6866","4,6379","0,32%"